t + e,the
b + e,be
o + f,of
a + d,and
t + o,to
i + n,in
h + e,he
a + v,have
i + t,it
h + a,that
f + r,for
h + y,they
w + t,with
a + s,as
n + t,not
o + n,on
s + h,she
a + j,at
b + y,by
h + i,this
w + e,we
y + u,you
d + o,do
b + u,but
f + m,from
o + r,or
i + c,which
o + e,one
w + u,would
a + l,all
w + i,will
t + r,there
a + y,say
w + b,who
k + e,make
w + n,when
c + n,can
m + r,more
i + f,if
j + o,no
m + a,man
o + u,out
o + h,other
s + o,so
w + a,what
i + m,time
u + p,up
g + o,go
a + b,about
a + n,than
i + j,into
u + l,could
a + e,state
o + y,only
n + e,new
y + r,year
o + m,some
t + k,take
c + o,come
t + h,these
k + o,know
s + e,see
u + e,use
g + e,get
i + k,like
h + n,then
f + s,first
n + y,any
w + k,work
n + z,now
m + y,may
s + u,such
i + v,give
o + v,over
n + k,think
m + t,most
v + n,even
f + n,find
d + y,day
l + s,also
a + f,after
w + y,way
m + n,many
m + u,must
l + k,look
b + f,before
g + a,great
b + k,back
u + g,through
n + g,long
w + r,where
u + c,much
s + d,should
w + l,well
p + e,people
d + w,down
n + q,own
j + t,just
b + c,because
g + d,good
e + c,each
k + s,those
f + l,feel
s + m,seem
o + w,how
h + g,high
o + Dup,too
p + a,place
l + i,little
r + l,world
v + y,very
s + i,still
a + o,nation
h + k,hand
o + l,old
i + e,life
e + l,tell
r + i,write
b + m,become
h + r,here
s + w,show
h + u,house
b + t,both
b + n,between
n + d,need
m + e,mean
c + a,call
d + v,develop
u + n,under
l + t,last
i + g,right
v + e,move
t + g,thing
g + j,general
c + l,school
v + r,never
d + m,same
n + r,another
b + g,begin
w + h,while
b + r,number
p + t,part
t + u,turn
r + a,real
l + v,leave
m + g,might
j + w,want
p + i,point
j + f,form
f + k,off
c + d,child
f + e,few
m + l,small
s + n,since
g + s,against
a + k,ask
a + z,late
h + m,home
r + s,interest
l + g,large
p + r,person
e + d,end
o + p,open
b + i,public
f + w,follow
d + u,during
p + s,present
i + u,without
a + i,again
h + l,hold
g + r,govern
a + u,around
o + b,possible
j + d,head
i + d,consider
j + r,word
p + m,program
b + l,problem
h + v,however
l + d,lead
y + t,system
s + t,set
r + d,order
e + y,eye
p + n,plan
r + u,run
k + p,keep
f + c,face
c + t,fact
g + p,group
p + y,play
t + d,stand
c + s,increase
l + y,early
c + r,course
c + h,change
l + p,help
e + j,line
